Registration_ID,Attendee_Name,Contact_Email,Location_Country,Signup_Date,Fee_Paid,Dietary_Preferences
REG-1000,Michael ,jane.doe@,us,2026.03.15,-50,[]
REG-1001,bOb mArLeY,bob@marley.org ,UK,15/03/2026,$150.00,None
REG-1002,  ,,u.k.,2026.03.15,-50,"[Vegetarian,Nut-Free]"
REG-1003,Null,user@domain..com,United States,2025-12-31,"150,00 USD","[""Keto""]"
REG-1004,Michael ,jane.doe@,Canada,2025-12-31,$150.00,[]
REG-1004,Emma Watson,test@gmail.com,United States,"Mar 15, 2026",FREE,[]
REG-1006,Alice Smith,,canada ,2025-12-31,0,"[Vegetarian,Nut-Free]"
REG-1007,Michael ,alice smith@company.com,lagos,2026-03-15,FREE,"[""Keto""]"
REG-1008,  ,test@gmail.com,canada ,2026/03/15,N/A,None
REG-1009,Null,jane.doe@,U.S.A.,2026-13-45,0,[Vegan]
REG-1010,bOb mArLeY,JOHN@DOE.COM,United States,2026.03.15,FREE,"no nuts, please"
REG-1011,  ,invalid_email.com,Canada,2026/03/15,0,None
REG-1011,  ,user@domain..com,London,yesterday,€140.50,[Vegan]
REG-1013,Alice Smith,bob@marley.org ,us,15/03/2026,0,"['Gluten-Free', 'Dairy-Free']"
REG-1014,Dr. Sarah-Jane O'Connor,jane.doe@,USA,2026-03-15,150.00,N/A
REG-1015,Null,,us,2026.03.15,£120,[Halal]
REG-1016,jane_doe,user@domain..com,USA,2026/03/15,£120,[Halal]
REG-1017,  ,user@domain..com,lagos,15/03/2026,150.00,"no nuts, please"
REG-1018,Dr. Sarah-Jane O'Connor,user@domain..com,Canada,"Mar 15, 2026",-50,"[""Keto""]"
REG-1019,jane_doe,test@gmail.com,u.k.,2026-03-15,150 USD,"[Vegetarian,Nut-Free]"
missing,Null,invalid_email.com,United Kingdom,2026-03-15,-50,"[""Keto""]"
REG-1021, John Doe ,test@gmail.com,United States,"Mar 15, 2026",$150.00,"[Vegetarian,Nut-Free]"
REG-1022,Emma Watson,,CA,2026-13-45,$150.00,"[""Keto""]"
REG-1023,Dr. Sarah-Jane O'Connor,test@gmail.com,USA,"Mar 15, 2026",0,N/A
REG-1024,ERROR,JOHN@DOE.COM,Canada,2026-03-15,FREE,"['Gluten-Free', 'Dairy-Free']"
REG-1025, John Doe ,invalid_email.com,DE,2026-03-15,FREE,"['Gluten-Free', 'Dairy-Free']"
REG-1026,Emma Watson,invalid_email.com,,2026/03/15,£120,[Vegan]
REG-1027,Alice Smith,,lagos,2025-12-31,$ 150,"['Gluten-Free', 'Dairy-Free']"
REG-1028,Michael ,bob@marley.org ,UK,15/03/2026,-50,"['Gluten-Free', 'Dairy-Free']"
REG-1029,bOb mArLeY,JOHN@DOE.COM,UK,"Mar 15, 2026",€140.50,None
REG-1030,ERROR,jane.doe@,Nigeria,15/03/2026,N/A,None
REG-1031,Alice Smith,test@gmail.com,,"Mar 15, 2026","150,00 USD",[Vegan]
REG-1032,Null,alice smith@company.com,u.k.,yesterday,FREE,"no nuts, please"
REG-1033,Alice Smith,test@gmail.com,U.S.A.,2026-03-15,"150,00 USD",None
REG-1034,Michael ,user@domain..com,USA,2025-12-31,0,"no nuts, please"
REG-1035,Null,test@gmail.com,NGA,2026/03/15,"150,00 USD",[]
REG-1036,ERROR,jane.doe@,USA,2025-12-31,N/A,None
REG-1037,Michael ,test@gmail.com,united states,2025-12-31,150.00,N/A
REG-1038,jane_doe,JOHN@DOE.COM,Canada,2025-12-31,N/A,[Vegan]
REG-1039,bOb mArLeY,JOHN@DOE.COM,,15/03/2026,"150,00 USD",[]
REG-1040,ERROR,invalid_email.com,us,"Mar 15, 2026",N/A,N/A
